"CTRL_DBP_BUS_automobile_manufacturer","0"
"CTRL_DBP_BUS_automobile_manufacturer","1"
"CTRL_DBP_BUS_automobile_manufacturer","2"
"CTRL_DBP_BUS_automobile_manufacturer","3"
"CTRL_DBP_BUS_european_company_high_revenues","1"
"CTRL_DBP_BUS_european_company_high_revenues","3"
"CTRL_DBP_BUS_european_company_high_revenues","5"
"CTRL_DBP_MUS_german_musician_NOISE2","0"
"CTRL_DBP_MUS_german_musician_NOISE2","1"
"CTRL_DBP_MUS_rock_bands_labels","2"
"CTRL_DBP_MUS_rock_bands_labels","3"
"CTRL_DBP_MUS_rock_bands_labels_NOISE2","0"
"CTRL_DBP_MUS_rock_bands_labels_NOISE2","2"
"CTRL_DBP_MUS_rock_bands_labels_NOISE2","3"
"CTRL_DBP_MUS_us_musician_aliases","0"
"CTRL_DBP_MUS_us_musician_aliases","1"
"CTRL_DBP_MUS_us_musician_aliases_NOISE2","1"
"CTRL_DBP_POL_european_prime_ministers","0"
"CTRL_DBP_POL_european_prime_ministers","1"
"CTRL_DBP_POL_european_prime_ministers","2"
"CTRL_DBP_SPO_goalkeepers","0"
"CTRL_DBP_SPO_goalkeepers","1"
"CTRL_DBP_SPO_goalkeepers","2"
"CTRL_DBP_SPO_goalkeepers","3"
"CTRL_DBP_SPO_goalkeepers_NOISE2","0"
"CTRL_DBP_SPO_goalkeepers_NOISE2","1"
"CTRL_DBP_SPO_goalkeepers_NOISE2","2"
"CTRL_DBP_SPO_goalkeepers_NOISE2","3"
"CTRL_WIKI_BUS_largest_companies_by_revenue","1"
"CTRL_WIKI_BUS_largest_companies_by_revenue","6"
"CTRL_WIKI_BUS_largest_employers","0"
"CTRL_WIKI_BUS_largest_employers","3"
"CTRL_WIKI_BUS_largest_employers_NOISE2","0"
"CTRL_WIKI_BUS_largest_employers_NOISE2","3"
"CTRL_WIKI_GEO_member_states_united_nations","0"
"CTRL_WIKI_GEO_member_states_united_nations","1"
"CTRL_WIKI_GEO_member_states_united_nations","3"
"TOUGH_DBP_HOMO_SORTED_athletes_in_clubs","0"
"TOUGH_DBP_HOMO_SORTED_athletes_in_clubs","1"
"TOUGH_DBP_HOMO_players_in_clubs","0"
"TOUGH_DBP_HOMO_players_in_clubs","1"
"TOUGH_WEB_MISC_wiki_list_of_lakes_by_area","1"
"TOUGH_WEB_MISC_wiki_list_of_lakes_by_area","2"
"TOUGH_WEB_MISC_wiki_list_of_national_anthems","0"
"TOUGH_WEB_MISC_wiki_list_of_national_anthems","3"
"TOUGH_WEB_MISC_wiki_list_of_national_anthems","4"
"TOUGH_WEB_MISC_wiki_presidents_of_the_us","2"
"TOUGH_WEB_MISC_wiki_presidents_of_the_us","3"
"TOUGH_WEB_MISC_wiki_presidents_of_the_us","4"
"TOUGH_WEB_MISC_wiki_presidents_of_the_us","5"
"TOUGH_WEB_MISC_wiki_presidents_of_the_us","6"
"TOUGH_WEB_MISSP_drugs","0"
"TOUGH_WEB_MISSP_drugs","1"
