"CTRL_DBP_BUS_automobile_manufacturer","0"
"CTRL_DBP_BUS_european_company_high_revenues","3"
"CTRL_DBP_MUS_german_musician_NOISE2","0"
"CTRL_DBP_MUS_rock_bands_labels","2"
"CTRL_DBP_MUS_rock_bands_labels","3"
"CTRL_DBP_MUS_rock_bands_labels_NOISE2","2"
"CTRL_DBP_POL_european_prime_ministers","0"
"CTRL_DBP_SPO_goalkeepers","2"
"CTRL_DBP_SPO_goalkeepers","3"
"CTRL_DBP_SPO_goalkeepers_NOISE2","0"
"CTRL_WIKI_BUS_largest_companies_by_revenue","6"
"CTRL_WIKI_BUS_largest_employers","3"
"CTRL_WIKI_BUS_largest_employers_NOISE2","3"
"CTRL_WIKI_GEO_member_states_united_nations","0"
"TOUGH_DBP_HOMO_SORTED_athletes_in_clubs","0"
"TOUGH_DBP_HOMO_SORTED_athletes_in_clubs","1"
"TOUGH_DBP_HOMO_players_in_clubs","1"
"TOUGH_WEB_MISC_wiki_list_of_national_anthems","0"
"TOUGH_WEB_MISC_wiki_presidents_of_the_us","4"
"TOUGH_WEB_MISSP_drugs","0"
